00002 - KAH DEBBY : KAHDEBBY: KEY - MJS: RING - FWT
00003 - ADA CX MMA : ADACXMMA: KEY - MHM: RING - FWT
00003 - AXA AXL IW : AXAAXLIW: KEY - MYP: RING - FWT
00003 - BDM JK HDI : BDMJKHDI: KEY - MXC: RING - FWT
00003 - BOL SKH XG : BOLSKHXG: KEY - MFP: RING - FWT
00003 - BRAK KG AW : BRAKKGAW: KEY - MDZ: RING - FWT
00003 - CE XXS OWL : CEXXSOWL: KEY - MRY: RING - FWT
00003 - CH KMS SBB : CHKMSSBB: KEY - MON: RING - FWT
00003 - CXD CSP EH : CXDCSPEH: KEY - MRU: RING - FWT
00003 - CZW PSY SI : CZWPSYSI: KEY - MCD: RING - FWT
00003 - DLL GH MOH : DLLGHMOH: KEY - MYC: RING - FWT
00003 - DOH DH BBI : DOHDHBBI: KEY - MXA: RING - FWT
00003 - DX FSH BUS : DXFSHBUS: KEY - MFJ: RING - FWT
00003 - FAY MT DOM : FAYMTDOM: KEY - MBS: RING - FWT
00003 - FIL WT BOE : FILWTBOE: KEY - MMA: RING - FWT
00003 - FMRI T FTP : FMRITFTP: KEY - MZM: RING - FWT
00003 - FT UNTI DC : FTUNTIDC: KEY - MMN: RING - FWT
00003 - GAME GX RO : GAMEGXRO: KEY - MQF: RING - FWT
00003 - GLUE G OCT : GLUEGOCT: KEY - MYZ: RING - FWT
00003 - GMC GG PID : GMCGGPID: KEY - MTR: RING - FWT
00003 - GP GE GOER : GPGEGOER: KEY - MKV: RING - FWT
00003 - HHS PBT TA : HHSPBTTA: KEY - MAJ: RING - FWT
00003 - HY LEB TEE : HYLEBTEE: KEY - MMZ: RING - FWT
00003 - IN CWM COD : INCWMCOD: KEY - MLO: RING - FWT
00003 - IN DOM HME : INDOMHME: KEY - MRL: RING - FWT
00003 - IN MIM FRU : INMIMFRU: KEY - MTK: RING - FWT
00003 - IN SEMI PC : INSEMIPC: KEY - MKC: RING - FWT
00003 - JD HDL PTE : JDHDLPTE: KEY - MDM: RING - FWT
00003 - JG GALI QC : JGGALIQC: KEY - MJE: RING - FWT
00003 - JIL NLD DX : JILNLDDX: KEY - MED: RING - FWT
00003 - KM ROE PYX : KMROEPYX: KEY - MOZ: RING - FWT
00003 - LIO PF OMI : LIOPFOMI: KEY - MYJ: RING - FWT
00003 - LK OMF GAG : LKOMFGAG: KEY - MZR: RING - FWT
00003 - LOON F BXF : LOONFBXF: KEY - MCX: RING - FWT
00003 - LZ ORF GAM : LZORFGAM: KEY - MRT: RING - FWT
00003 - MAL KC GAO : MALKCGAO: KEY - MIQ: RING - FWT
00003 - MC SECK NI : MCSECKNI: KEY - MEG: RING - FWT
00003 - MDS RCP FM : MDSRCPFM: KEY - MJQ: RING - FWT
00003 - NAW CD KPM : NAWCDKPM: KEY - MMM: RING - FWT
00003 - NDA ODU VM : NDAODUVM: KEY - MPB: RING - FWT
00003 - NFG LDP CF : NFGLDPCF: KEY - MQE: RING - FWT
00003 - NL AMD GAY : NLAMDGAY: KEY - MTI: RING - FWT
00003 - NLP IDF PI : NLPIDFPI: KEY - MRZ: RING - FWT
00003 - NS BSD DOG : NSBSDDOG: KEY - MMH: RING - FWT
00003 - ODI GUM LV : ODIGUMLV: KEY - MPN: RING - FWT
00003 - OG PSU PPV : OGPSUPPV: KEY - MCU: RING - FWT
00003 - OT DAUB LV : OTDAUBLV: KEY - MNQ: RING - FWT
00003 - PB RRR OVI : PBRRROVI: KEY - MBG: RING - FWT
00003 - PI MER GAB : PIMERGAB: KEY - MIJ: RING - FWT
00003 - PM RH RACQ : PMRHRACQ: KEY - MCQ: RING - FWT
00003 - PX DVR LSA : PXDVRLSA: KEY - MAH: RING - FWT
00003 - Q GCC JOED : QGCCJOED: KEY - MDI: RING - FWT
00003 - RBI VVD FF : RBIVVDFF: KEY - MIL: RING - FWT
00003 - RD LIV FLQ : RDLIVFLQ: KEY - MWY: RING - FWT
00003 - RE XXV LOP : REXXVLOP: KEY - MKW: RING - FWT
00003 - SJ BB WUTW : SJBBWUTW: KEY - MNV: RING - FWT
00003 - TAR CQ PSY : TARCQPSY: KEY - MHJ: RING - FWT
00003 - UF LLI CHH : UFLLICHH: KEY - MGG: RING - FWT
00003 - USD VID HX : USDVIDHX: KEY - MHY: RING - FWT
00003 - VEX EA IOC : VEXEAIOC: KEY - MBQ: RING - FWT
00003 - VFD LA COI : VFDLACOI: KEY - MXZ: RING - FWT
00003 - VITA A CEB : VITAACEB: KEY - MOM: RING - FWT
00003 - W PERO MBR : WPEROMBR: KEY - MIC: RING - FWT
00004 - A CAJ X KNM : ACAJXKNM: KEY - MDB: RING - FWT
00004 - A CCP XL ND : ACCPXLND: KEY - MRV: RING - FWT
00004 - A IE QXE MK : AIEQXEMK: KEY - MLB: RING - FWT
00004 - A LEE XY LF : ALEEXYLF: KEY - MMB: RING - FWT
00004 - AH VY XJ CY : AHVYXJCY: KEY - MRK: RING - FWT
00004 - AL RH XJ XI : ALRHXJXI: KEY - MOV: RING - FWT
00004 - ALF HX LU U : ALFHXLUU: KEY - MEJ: RING - FWT
00004 - AY FK XI UC : AYFKXIUC: KEY - MGV: RING - FWT
00004 - B GLI KF QS : BGLIKFQS: KEY - MOE: RING - FWT
00004 - B IS TKA JT : BISTKAJT: KEY - MEK: RING - FWT
00004 - B MHD K BIE : BMHDKBIE: KEY - MZC: RING - FWT
00004 - B QU MK PRY : BQUMKPRY: KEY - MOB: RING - FWT
00004 - B RUE KU QO : BRUEKUQO: KEY - MUW: RING - FWT
00004 - B VEM KZ DW : BVEMKZDW: KEY - MVY: RING - FWT
00004 - B XV TK JJB : BXVTKJJB: KEY - MCJ: RING - FWT
00004 - BAS OK PW L : BASOKPWL: KEY - MDC: RING - FWT
00004 - BC BP KC NA : BCBPKCNA: KEY - MXW: RING - FWT
00004 - BC GG KAN Q : BCGGKANQ: KEY - MUH: RING - FWT
00004 - BD CT KE JD : BDCTKEJD: KEY - MQY: RING - FWT
00004 - BD UT KM JJ : BDUTKMJJ: KEY - MDF: RING - FWT
00004 - BDS HK UW L : BDSHKUWL: KEY - MFD: RING - FWT
00004 - BG JX KJ IW : BGJXKJIW: KEY - MWU: RING - FWT
00004 - BIM A KW PB : BIMAKWPB: KEY - MUK: RING - FWT
00004 - BIZ V KY GI : BIZVKYGI: KEY - MVM: RING - FWT
00004 - BJ BN KG AW : BJBNKGAW: KEY - MGO: RING - FWT
00004 - BJ L AKIL C : BJLAKILC: KEY - MWW: RING - FWT
00004 - BOK NK SP Z : BOKNKSPZ: KEY - MJP: RING - FWT
00004 - BR IV KP PU : BRIVKPPU: KEY - MLM: RING - FWT
00004 - BR SJK C PG : BRSJKCPG: KEY - MQG: RING - FWT
00004 - BRF S KB UB : BRFSKBUB: KEY - MQN: RING - FWT
00004 - BRF Z KOU B : BRFZKOUB: KEY - MWT: RING - FWT
00004 - BTW X KW KF : BTWXKWKF: KEY - MCT: RING - FWT
00004 - BX AQ KM CK : BXAQKMCK: KEY - MXX: RING - FWT
00004 - BZ ZE KM QE : BZZEKMQE: KEY - MYX: RING - FWT
00004 - C BZ RS KTP : CBZRSKTP: KEY - MAZ: RING - FWT
00004 - C CSX SM NI : CCSXSMNI: KEY - MOK: RING - FWT
00004 - C LT JSC CH : CLTJSCCH: KEY - MYA: RING - FWT
00004 - C PEZ SQ KR : CPEZSQKR: KEY - MLR: RING - FWT
00004 - C SH DSL TZ : CSHDSLTZ: KEY - MUO: RING - FWT
00004 - CD IF SL BB : CDIFSLBB: KEY - MAX: RING - FWT
00004 - CH CSS VS D : CHCSSVSD: KEY - MCR: RING - FWT
00004 - CI MY SL PQ : CIMYSLPQ: KEY - MAB: RING - FWT
00004 - CJ LHS W TZ : CJLHSWTZ: KEY - MTY: RING - FWT
00004 - CK CNS CV D : CKCNSCVD: KEY - MXI: RING - FWT
00004 - CK CY SL MD : CKCYSLMD: KEY - MLD: RING - FWT
00004 - CM LA SEW L : CMLASEWL: KEY - MEP: RING - FWT
00004 - COU Q SPP K : COUQSPPK: KEY - MSO: RING - FWT
00004 - CSR IS F DX : CSRISFDX: KEY - MTG: RING - FWT
00004 - CYD Z SB VH : CYDZSBVH: KEY - MLE: RING - FWT
00004 - D MM THE JY : DMMTHEJY: KEY - MJK: RING - FWT
00004 - D VT GHZ VP : DVTGHZVP: KEY - MJU: RING - FWT
00004 - DA AY HY GS : DAAYHYGS: KEY - MPV: RING - FWT
00004 - DAI TH HJ A : DAITHHJA: KEY - MXY: RING - FWT
00004 - DB NM HM TG : DBNMHMTG: KEY - MIF: RING - FWT
00004 - DDF PH MU J : DDFPHMUJ: KEY - MUQ: RING - FWT
00004 - DEX Q HY CK : DEXQHYCK: KEY - MAL: RING - FWT
00004 - DH NN HR DJ : DHNNHRDJ: KEY - MZL: RING - FWT
00004 - DK HD HQ CG : DKHDHQCG: KEY - MLU: RING - FWT
00004 - DK PE HOB U : DKPEHOBU: KEY - MTX: RING - FWT
00004 - DK SY HJ YJ : DKSYHJYJ: KEY - MCH: RING - FWT
00004 - DMB VH PW L : DMBVHPWL: KEY - MVF: RING - FWT
